topic,direction,agent,condition,platform,dataset
3hu9k,negative,claude,0,osf,3hu9k
3hu9k,negative,claude,1,osf,3hu9k
3hu9k,negative,claude,2,osf,3hu9k
3hu9k,negative,claude,2,github,stanford-policylab/opp
3hu9k,negative,claude,3,osf,3hu9k
3hu9k,negative,claude,4,osf,3hu9k
3hu9k,negative,claude,5,osf,3hu9k
3hu9k,negative,codex,0,osf,3hu9k
3hu9k,negative,codex,0,github,fatimakay/policing-the-police
3hu9k,negative,codex,1,osf,3hu9k
3hu9k,negative,codex,1,github,fatimakay/policing-the-police
3hu9k,negative,codex,2,github,fatimakay/policing-the-police
3hu9k,negative,codex,2,osf,3hu9k
3hu9k,negative,codex,2,kaggle,faressayah/stanford-open-policing-project
3hu9k,negative,codex,2,github,alejo1630/opp_EDA
3hu9k,negative,codex,2,github,5harad/openpolicing
3hu9k,negative,codex,3,osf,3hu9k
3hu9k,negative,codex,3,github,fatimakay/policing-the-police
3hu9k,negative,codex,4,osf,3hu9k
3hu9k,negative,codex,4,github,fatimakay/policing-the-police
3hu9k,negative,codex,5,osf,3hu9k
3hu9k,negative,codex,5,github,fatimakay/policing-the-police
3hu9k,negative,gemini,0,osf,3hu9k
3hu9k,negative,gemini,0,github,fatimakay/policing-the-police
3hu9k,negative,gemini,1,osf,3hu9k
3hu9k,negative,gemini,1,github,fatimakay/policing-the-police
3hu9k,negative,gemini,2,osf,3hu9k
3hu9k,negative,gemini,2,github,fatimakay/policing-the-police
3hu9k,negative,gemini,2,github,5harad/openpolicing
3hu9k,negative,gemini,2,kaggle,stanford-open-policing/stanford-open-policing-project-bundle-1
3hu9k,negative,gemini,2,kaggle,stanford-open-policing/stanford-open-policing-project-bundle-2
3hu9k,negative,gemini,2,github,maxtakacs/PySparkPoliceBias
3hu9k,negative,gemini,2,github,nimbuscloudservices/CST383-Project
3hu9k,negative,gemini,3,osf,3hu9k
3hu9k,negative,gemini,4,osf,3hu9k
3hu9k,negative,gemini,4,github,fulldecent/philadelphia-traffic-court-rtk
3hu9k,negative,gemini,4,github,wulucy/philly-traffic-court
3hu9k,negative,gemini,4,github,idealidler/Philadelphia-Traffic-analysis
3hu9k,negative,gemini,5,github,fatimakay/policing-the-police
3hu9k,negative,gemini,5,osf,3hu9k
3hu9k,negative,gemini,5,github,yun-ch0i/driving-while-black
3hu9k,negative,gemini,5,github,fulldecent/philadelphia-traffic-court-rtk
3hu9k,positive,claude,0,osf,3hu9k
3hu9k,positive,claude,1,osf,3hu9k
3hu9k,positive,claude,2,github,fatimakay/policing-the-police
3hu9k,positive,claude,2,osf,3hu9k
3hu9k,positive,claude,2,github,stanford-policylab/opp
3hu9k,positive,claude,3,osf,3hu9k
3hu9k,positive,claude,4,osf,3hu9k
3hu9k,positive,claude,5,osf,3hu9k
3hu9k,positive,codex,0,osf,3hu9k
3hu9k,positive,codex,0,github,fatimakay/policing-the-police
3hu9k,positive,codex,1,osf,3hu9k
3hu9k,positive,codex,1,github,fatimakay/policing-the-police
3hu9k,positive,codex,2,osf,3hu9k
3hu9k,positive,codex,2,github,fatimakay/policing-the-police
